TITLE SAMPLE NAME:,LDPE_DOVE
DATA TYPE:,Infrared Spectrum
MEASUREMENT INFORMATION:,FTIR Spectrophotometer
MODEL NAME:,FTIR
SERIAL No:,
ACCESSORY:,ATR
LIGHT SOURCE:,
RESOLUTION:,4 cm-1
XUNITS/ HORIZONTAL AXIS:,Wavenumber [cm-1]
YUNITS/ VERTICAL AXIS:,Transmittance %T
FIRSTX:,3996.82516
FIRSTY:,98.871
LASTX:,599.82981
LASTY:,98.711
NPOINTS:,1681
3199.09232,99.198
3197.05208,99.203
3195.01184,99.222
3192.9716,99.227
3190.93137,99.224
3188.89113,99.224
3186.85089,99.223
3184.81065,99.216
3182.77042,99.201
3180.73018,99.189
3178.68994,99.186
3176.6497,99.18
3174.60947,99.171
3172.56923,99.174
3170.52899,99.18
3168.48875,99.174
3166.44852,99.161
3164.40828,99.154
3162.36804,99.148
3160.3278,99.142
3158.28757,99.147
3156.24733,99.163
3154.20709,99.176
3152.16685,99.172
3150.12662,99.156
3148.08638,99.137
3146.04614,99.125
3144.0059,99.129
3141.96567,99.141
3139.92543,99.152
3137.88519,99.163
3135.84495,99.173
3133.80472,99.173
3131.76448,99.169
3129.72424,99.155
3127.68401,99.13
3125.64377,99.12
3123.60353,99.126
3121.56329,99.119
3119.52306,99.104
3117.48282,99.093
3115.44258,99.077
3113.40234,99.075
3111.36211,99.108
3109.32187,99.142
3107.28163,99.152
3105.24139,99.151
3103.20116,99.149
3101.16092,99.141
3099.12068,99.131
3097.08044,99.13
3095.04021,99.135
3092.99997,99.126
3090.95973,99.102
3088.91949,99.088
3086.87926,99.1
3084.83902,99.127
3082.79878,99.142
3080.75854,99.129
3078.71831,99.097
3076.67807,99.081
3074.63783,99.094
3072.59759,99.105
3070.55736,99.092
3068.51712,99.072
3066.47688,99.071
3064.43664,99.082
3062.39641,99.089
3060.35617,99.093
3058.31593,99.1
3056.27569,99.119
3054.23546,99.144
3052.19522,99.139
3050.15498,99.105
3048.11474,99.088
3046.07451,99.096
3044.03427,99.097
3041.99403,99.089
3039.95379,99.095
3037.91356,99.105
3035.87332,99.101
3033.83308,99.08
3031.79285,99.059
3029.75261,99.07
3027.71237,99.102
3025.67213,99.103
3023.6319,99.077
3021.59166,99.07
3019.55142,99.081
3017.51118,99.084
3015.47095,99.081
3013.43071,99.081
3011.39047,99.091
3009.35023,99.106
3007.31,99.103
3005.26976,99.09
3003.22952,99.091
3001.18928,99.097
2999.14905,99.089
2997.10881,99.08
2995.06857,99.083
2993.02833,99.087
2990.9881,99.093
2988.94786,99.107
2986.90762,99.121
2984.86738,99.131
2982.82715,99.131
2980.78691,99.121
2978.74667,99.114
2976.70643,99.109
2974.6662,99.108
2972.62596,99.12
2970.58572,99.13
2968.54548,99.121
2966.50525,99.101
2964.46501,99.099
2962.42477,99.108
2960.38453,99.097
2958.3443,99.099
2956.30406,99.138
2954.26382,99.171
2952.22358,99.176
2950.18335,99.161
2948.14311,99.135
2946.10287,99.102
2944.06264,99.063
2942.0224,99.012
2939.98216,98.956
2937.94192,98.9
2935.90169,98.811
2933.86145,98.68
2931.82121,98.534
2929.78097,98.367
2927.74074,98.156
2925.7005,97.879
2923.66026,97.503
2921.62002,97.024
2919.57979,96.512
2917.53955,96.047
2915.49931,95.703
2913.45907,95.553
2911.41884,95.593
2909.3786,95.749
2907.33836,95.989
