TITLE SAMPLE NAME:,HDPE_MED_BOX
DATA TYPE:,Infrared Spectrum
MEASUREMENT INFORMATION:,FTIR Spectrophotometer
MODEL NAME:,FTIR
SERIAL No:,
ACCESSORY:,ATR
LIGHT SOURCE:,
RESOLUTION:,4 cm-1
XUNITS/ HORIZONTAL AXIS:,Wavenumber [cm-1]
YUNITS/ VERTICAL AXIS:,Transmittance %T
FIRSTX:,3996.82516
FIRSTY:,98.275
LASTX:,599.82981
LASTY:,97.348
NPOINTS:,1681
3437.8001,99.161
3435.75986,99.133
3433.71962,99.129
3431.67938,99.146
3429.63915,99.16
3427.59891,99.167
3425.55867,99.175
3423.51843,99.183
3421.4782,99.181
3419.43796,99.162
3417.39772,99.154
3415.35749,99.175
3413.31725,99.195
3411.27701,99.201
3409.23677,99.196
3407.19654,99.195
3405.1563,99.209
3403.11606,99.219
3401.07582,99.219
3399.03559,99.223
3396.99535,99.232
3394.95511,99.217
3392.91487,99.214
3390.87464,99.243
3388.8344,99.26
3386.79416,99.254
3384.75392,99.248
3382.71369,99.26
3380.67345,99.293
3378.63321,99.319
3376.59297,99.309
3374.55274,99.289
3372.5125,99.293
3370.47226,99.306
3368.43202,99.299
3366.39179,99.268
3364.35155,99.241
3362.31131,99.257
3360.27107,99.311
3358.23084,99.356
3356.1906,99.368
3354.15036,99.363
3352.11012,99.343
3350.06989,99.314
3348.02965,99.309
3345.98941,99.336
3343.94917,99.358
3341.90894,99.355
3339.8687,99.332
3337.82846,99.309
3335.78822,99.315
3333.74799,99.349
3331.70775,99.381
3329.66751,99.395
3327.62727,99.396
3325.58704,99.393
3323.5468,99.385
3321.50656,99.376
3319.46633,99.382
3317.42609,99.382
3315.38585,99.366
3313.34561,99.358
3311.30538,99.357
3309.26514,99.355
3307.2249,99.363
3305.18466,99.363
3303.14443,99.333
3301.10419,99.297
3299.06395,99.292
3297.02371,99.306
3294.98348,99.326
3292.94324,99.353
3290.903,99.372
3288.86276,99.374
3286.82253,99.359
3284.78229,99.329
3282.74205,99.318
3280.70181,99.349
3278.66158,99.386
3276.62134,99.397
3274.5811,99.384
3272.54086,99.374
3270.50063,99.382
3268.46039,99.385
3266.42015,99.373
3264.37991,99.364
3262.33968,99.35
3260.29944,99.329
3258.2592,99.32
3256.21896,99.318
3254.17873,99.316
3252.13849,99.32
3250.09825,99.315
3248.05801,99.287
3246.01778,99.258
3243.97754,99.262
3241.9373,99.296
3239.89706,99.32
3237.85683,99.31
3235.81659,99.269
3233.77635,99.234
3231.73611,99.239
3229.69588,99.265
3227.65564,99.271
3225.6154,99.256
3223.57517,99.251
3221.53493,99.261
3219.49469,99.269
3217.45445,99.26
3215.41422,99.247
3213.37398,99.245
3211.33374,99.256
3209.2935,99.272
3207.25327,99.287
3205.21303,99.282
3203.17279,99.256
3201.13255,99.237
3199.09232,99.226
3197.05208,99.227
3195.01184,99.244
3192.9716,99.252
3190.93137,99.24
3188.89113,99.235
3186.85089,99.249
3184.81065,99.252
3182.77042,99.228
3180.73018,99.21
3178.68994,99.212
3176.6497,99.205
3174.60947,99.191
3172.56923,99.2
3170.52899,99.221
3168.48875,99.221
3166.44852,99.205
3164.40828,99.192
3162.36804,99.182
3160.3278,99.181
3158.28757,99.198
3156.24733,99.216
3154.20709,99.217
3152.16685,99.215
3150.12662,99.213
3148.08638,99.195
3146.04614,99.171
3144.0059,99.156
3141.96567,99.158
3139.92543,99.174
3137.88519,99.181
3135.84495,99.172
3133.80472,99.181
3131.76448,99.217
3129.72424,99.228
3127.68401,99.189
3125.64377,99.148
3123.60353,99.149
3121.56329,99.17
3119.52306,99.178
3117.48282,99.157
3115.44258,99.124
3113.40234,99.129
3111.36211,99.17
3109.32187,99.184
3107.28163,99.17
3105.24139,99.162
3103.20116,99.154
3101.16092,99.145
3099.12068,99.159
3097.08044,99.183
3095.04021,99.193
3092.99997,99.176
3090.95973,99.138
3088.91949,99.121
3086.87926,99.133
3084.83902,99.142
3082.79878,99.136
3080.75854,99.127
3078.71831,99.126
3076.67807,99.134
3074.63783,99.132
3072.59759,99.121
3070.55736,99.112
3068.51712,99.107
3066.47688,99.117
3064.43664,99.141
3062.39641,99.152
3060.35617,99.147
3058.31593,99.143
3056.27569,99.146
3054.23546,99.146
3052.19522,99.134
3050.15498,99.122
3048.11474,99.13
3046.07451,99.142
3044.03427,99.141
3041.99403,99.139
3039.95379,99.138
3037.91356,99.132
3035.87332,99.135
3033.83308,99.148
3031.79285,99.143
3029.75261,99.138
3027.71237,99.157
3025.67213,99.174
3023.6319,99.164
3021.59166,99.146
3019.55142,99.142
3017.51118,99.135
3015.47095,99.106
3013.43071,99.079
3011.39047,99.081
3009.35023,99.103
3007.31,99.118
3005.26976,99.119
3003.22952,99.116
3001.18928,99.111
2999.14905,99.108
2997.10881,99.123
2995.06857,99.139
2993.02833,99.125
2990.9881,99.102
2988.94786,99.104
2986.90762,99.123
2984.86738,99.137
2982.82715,99.141
2980.78691,99.13
2978.74667,99.109
2976.70643,99.086
2974.6662,99.072
2972.62596,99.09
2970.58572,99.12
2968.54548,99.12
2966.50525,99.11
2964.46501,99.114
2962.42477,99.11
2960.38453,99.083
2958.3443,99.068
2956.30406,99.091
2954.26382,99.118
2952.22358,99.115
2950.18335,99.106
2948.14311,99.1
2946.10287,99.078
2944.06264,99.036
2942.0224,98.971
2939.98216,98.89
2937.94192,98.812
2935.90169,98.711
2933.86145,98.576
2931.82121,98.426
2929.78097,98.244
2927.74074,98.011
2925.7005,97.736
2923.66026,97.386
2921.62002,96.933
2919.57979,96.437
2917.53955,95.999
2915.49931,95.703
2913.45907,95.585
2911.41884,95.608
2909.3786,95.733
2907.33836,95.943
2905.29812,96.19
2903.25789,96.388
2901.21765,96.522
2899.17741,96.652
2897.13717,96.78
2895.09694,96.884
2893.0567,96.985
2891.01646,97.08
2888.97622,97.164
2886.93599,97.268
2884.89575,97.396
2882.85551,97.527
2880.81527,97.659
2878.77504,97.801
2876.7348,97.936
2874.69456,98.049
2872.65432,98.149
2870.61409,98.246
2868.57385,98.336
2866.53361,98.413
2864.49337,98.472
2862.45314,98.482
2860.4129,98.42
2858.37266,98.282
2856.33242,98.039
2854.29219,97.641
2852.25195,97.072
2850.21171,96.418
2848.17148,95.873
2846.13124,95.615
2844.091,95.642
2842.05076,95.838
2840.01053,96.124
2837.97029,96.453
2835.93005,96.757
